,station_name,street_address,city,access_days_time
0,BMW OF DARIEN,138-142 Ledge Rd,Darien,24 hours daily
1,Dunkin’ - Tesla Supercharger,893 E Main St,Meriden,24 hours daily; for Tesla use only
2,Town of Beacon Falls - Commuter Lot,105 N Main St,Beacon Falls,24 hours daily
3,OLD SAYBROOK VW,319 Middlesex Turnpike,Old Saybrook,24 hours daily
4,Fairfield Rail Station,80 Mill Plain Rd,Fairfield,24 hours daily
5,FOUNDRY66,50 Franklin St,Norwich,24 hours daily
6,Corbins Corner Shopping Center - Tesla Supercharger,1445 New Britain Ave.,West Hartford,24 hours daily; for Tesla use only
7,GLASTONBURYEV,2327-2333 Main St,Glastonbury,24 hours daily
8,Whole Foods Market,150 Ledge Rd,Darien,8am-10pm daily; for customer use only
9,Mystic Marriott Hotel and Spa,625 North Rd,Groton,24 hours daily; guest use only; see front desk for access
10,Brass Mill Center - Shoppers World,495 Union St,Waterbury,6am-12am daily
11,University of Connecticut Health - Center Garage,263 Farmington Ave,Farmington,24 hours daily
12,D'Addario Nissan,329 Bridgeport Ave,Shelton,Dealership business hours
13,CT RAIL,198 N Cherry St,Wallingford,24 hours daily
14,Hampton Inn & Suites Rocky Hill - Hartford South - Tesla Destination,685 Cromwell Ave,Rocky Hill,24 hours daily; for customer use only; see front desk for access
15,Goodwives Shopping Center,25 Old Kings Hwy,Darien,24 hours daily
16,City of New Haven - Union Station Garage,50 Union Ave,New Haven,24 hours daily; pay lot
17,Easton Public Library,691 Morehouse Rd,Easton,24 hours daily
18,The Plaza at Buckland Hills - Tesla Supercharger,1470 Pleasant Valley Road,Manchester,24 hours daily; for Tesla use only
19,Greenlots - 92367,204 Stillman Hill Rd,Colebrook,24 hours daily
20,Mystic Diner Restaurant - Tesla Destination,253 Greenmanville  Ave,Mystic,24 hours daily; for customer use only
21,Connecticut Airport Authority - Bradley Airport,Cell Phone Lot,Windsor Locks,24 hours daily
22,University of Connecticut - Motor Pool,9 Discovery Dr,Storrs,8am-3pm M-F
23,Hammonasset Beach State Park - South,1288 Boston Post Rd,Madison,24 hours daily
24,Schaller Mitsubishi,25 Veterans Dr,New Britain,Dealership business hours
25,Mansfield Public Library,54 Warrenville Rd,Mansfield,24 hours daily
26,WESTLODGE,811 Burr Mountain Rd,Torrington,24 hours daily
27,TOWNHALL,100 Bentley Dr,Harwinton,24 hours daily
28,University of Connecticut - Avery Point,1084 Shennecossett Rd,Groton,24 hours daily
29,Middletown School District - Lawrence Elementary School,Kaplan Dr,Middletown,24 hours daily
30,Fairfield Mitsubishi,421 Tunxis Hill Rd,Fairfield,Dealership business hours
31,Gates Nissan,143 Boston Post Rd,North Windham,Dealership business hours
32,Water's Edge Resort and Spa - Tesla Destination,1525 Boston Post Rd,Westbrook,24 hours daily
33,North Haven PaviIion,100 Universal Dr,North Haven,24 hours daily
34,UNION STATION,Union Ave and Union Station,New Haven,24 hours daily
35,Torrington Town Hall,140 Main St,Torrington,24 hours daily
36,Crowley Nissan,1451 Farmington Ave,Bristol,Dealership business hours
37,Parthenon Diner Restaurant - Tesla Destination,374 E Main St,Branford,24 hours daily; for customer use only
38,Town of Mansfield - Community Center,10 S Eagleville Rd,Mansfield,24 hours daily
39,Manchester City Nissan,30 Tolland Turnpike,Manchester,Dealership business hours
40,City of Meriden - City Hall,142 E Main St,Meriden,24 hours daily
41,City of New Haven - Sherman Tyler Lot,60 N Frontage Rd,New Haven,24 hours daily; permit lot
42,City of Meriden - Meriden Public Library,105 Miller St,Meriden,24 hours daily
43,Blogoslawski Parking Garage,10 Franklin Square,New Britain,24 hours daily
44,Comfort Inn Guilford - Tesla Destination,300 Boston Post Rd,Guilford,24 hours daily; for customer use only; see front desk for access
45,Brass Mill Center - Entrance 5,495 Union St,Waterbury,6am-12pm daily
46,Town of Simsbury - Town Hall,933 Hopmeadow St,Simsbury,24 hours daily
47,Connecticut Legislative Parking Garage,240 Capitol Ave,Hartford,7am-7pm M-F
48,Middletown School District - Moody School,300 Country Club Rd,Middletown,24 hours daily
49,Barberino Nissan,505 N Colony St,Wallingford,Dealership business hours
50,CityPlace Garage,185 Asylum St,Hartford,Garage business hours
51,CURRAN VOLKSWAG,2774-2788 CT-113,Stratford,24 hours daily
52,"Inn at Stonington, a Select Registry Property - Tesla Destination",60 Water St,Stonington,24 hours daily; for customer use only
53,"Westport Town Hall 110 Myrtle Ave Westport, CT 06880",110 Myrtle Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
54,STARWOOD,1 Star Point,Stamford,24 hours daily
55,Popeyes Kitchen - Fairfield Pizza,200 E Main St,Stratford,24 hours daily
